ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,note_classif.label,note_indicator.label,note_source.label
Aruba,Average monthly earnings of employees by sex and economic activity,PC - Population and Housing Census,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2010,1683.24,,Currency: ABW - Florin (AWG) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked,Data reference period: September
Afghanistan,Average monthly earnings of employees by sex and economic activity,HIES - Living Conditions Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2014,154.57,,Currency: AFG - Afghani (AFN),Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Average monthly earnings of employees by sex and economic activity,LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,171.87,,Currency: AFG - Afghani (AFN),Repository: ILO-STATISTICS - Micro data processing
Albania,Average monthly earnings of employees by sex and economic activity,HIES - Living Standards Measurement Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2012,3246.14,,Currency: ALB - Lek (ALL),Repository: ILO-STATISTICS - Micro data processing
Albania,Average monthly earnings of employees by sex and economic activity,ADM-IR - General Directorate of Taxation,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2015,371.77,,Currency: ALB - Lek (ALL) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers,Reference group coverage: Insured persons
Albania,Average monthly earnings of employees by sex and economic activity,ADM-IR - General Directorate of Taxation,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2016,382.81,,Currency: ALB - Lek (ALL) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers,Reference group coverage: Insured persons
Albania,Average monthly earnings of employees by sex and economic activity,ADM-IR - General Directorate of Taxation,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2017,411.14,,Currency: ALB - Lek (ALL) | Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers,Reference group coverage: Insured persons
Albania,Average monthly earnings of employees by sex and economic activity,ADM-IR - General Directorate of Taxation,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2018,468.46,,Currency: ALB - Lek (ALL) | Working time arrangement coverage: Full-time and part time workers,Reference group coverage: Insured persons
Albania,Average monthly earnings of employees by sex and economic activity,ADM-IR - General Directorate of Taxation,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,476.83,,Currency: ALB - Lek (ALL) | Working time arrangement coverage: Full-time and part time workers,Reference group coverage: Insured persons
Albania,Average monthly earnings of employees by sex and economic activity,ADM-IR - General Directorate of Taxation,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,493.9,,Currency: ALB - Lek (ALL) | Working time arrangement coverage: Full-time and part time workers,Reference group coverage: Insured persons
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2010,620.72,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2011,766.55,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2012,865.27,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2013,912.41,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2014,799.98,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2017,874.86,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2018,656.95,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,530.92,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Average monthly earnings of employees by sex and economic activity,LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,514.35,,Currency: ARG - Argentine peso (ARS),Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,Average monthly earnings of employees by sex and economic activity,LFS - Household Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2015,209.93,,Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Average monthly earnings of employees by sex and economic activity,LFS - Household Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2016,207.98,,Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Average monthly earnings of employees by sex and economic activity,LFS - Household Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2017,214.42,,Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Average monthly earnings of employees by sex and economic activity,LFS - Household Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2018,226.33,,Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Average monthly earnings of employees by sex and economic activity,LFS - Household Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2019,245.37,,Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Average monthly earnings of employees by sex and economic activity,LFS - Household Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,Currency: U.S. dollars,2020,248.63,,Currency: ARM - Dram (AMD) | Central tendency measure: Mean or mean of the midpoints of the intervals provided,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
