mnc,year,sector,upe_code,upe_name,jur_code,jur_name,total_revenues,profit_before_tax,tax_paid,employees,tangible_assets,tax_accrued,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings
BT GROUP,2018,Communications,GBR,United Kingdom,USA,United States of America,1107976948.031271,57410474.2553943,5876662.719056109,1503,46674263.51865718,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,ITA,Italy,676155250.9252443,48369454.68761567,35599014.54812835,964,196529162.85458797,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,IRL,Ireland,418599205.98815054,46787276.26325441,0,656,64530277.16501997,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,DEU,Germany,404924663.8918854,24975816.555988465,7006790.165028438,713,68937774.20431206,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,FRA,France,365596228.7720483,11640312.693514986,3277369.593319753,1040,22150497.941057645,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,IND,India,336777978.899754,48256441.94301844,12544414.65029285,10348,13561529.351667944,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,ESP,Spain,326380806.39680856,11979350.927306684,3390382.337916986,1095,48143429.1984212,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,CHE,Switzerland,305134410.41252875,14239605.819251342,4972560.762278247,142,4181471.550097616,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,SGP,Singapore,181724493.31235045,1582178.42436126,1356152.9351667946,260,5311598.996069945,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,NLD,Netherlands,174604690.4027248,313158315.2789323,3503395.082514219,345,47126314.497046106,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,BEL,Belgium,173813601.19054416,4859548.017681014,339038.23379169864,274,10736210.736737125,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,HKG,Hong Kong,154714447.3536118,2712305.870333589,2147242.1473474246,144,5311598.996069945,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,AUS,Australia,147255606.21019444,5989675.463653342,2373267.6365418904,221,5311598.996069945,NA,NA,NA,NA,NA
BT GROUP,2018,Communications,GBR,United Kingdom,BRA,Brazil,120245560.25145578,7119802.909625671,1695191.168958493,660,18760115.60314066,NA,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,ARG,Argentina,2235117536.8637896,190788451.71601164,33623436.17418385,3805,NA,33841898.87321276,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,AUT,Austria,1615591191.013855,531555874.5699372,7857.493867886917,7997,NA,7857.493867886917,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,BLR,Belarus,213483804.98334587,47775640.945255,10054298.231335388,2412,NA,10054298.231335388,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,BRA,Brazil,8583561896.110621,766563929.8312423,26435722.700688895,36290,NA,26435722.700688895,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,BGR,Bulgaria,248884160.39951032,21664550.538061257,9338.45613798894,3620,NA,9338.45613798894,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,CHL,Chile,1656638030.8164551,115012105.1221551,10643379.058123903,3486,NA,10643379.058123903,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,COL,Colombia,3539104232.85292,585452978.6570003,65520216.64195942,9534,NA,65520216.64195942,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,CRI,Costa Rica,224411382.40399784,-38873091.57685893,NA,769,NA,NA,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,HRV,Croatia,223508332.42550084,19361672.582619738,4426358.191169906,1908,NA,4553177.736657913,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,DOM,Dominican Republic,901058294.437616,291377785.9165594,74033818.8342839,8321,NA,74033818.8342839,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,ECU,Ecuador,1169523637.0514977,193652051.2098996,70950424.16044745,3116,NA,70950424.16044745,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,SLV,El Salvador,418929438.2842486,88926511.9788719,27073852.90320633,2093,NA,27073852.90320633,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,GTM,Guatemala,986297474.4751364,140408871.4258093,42867532.55312298,3979,NA,42867532.55312298,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,HND,Honduras,239357362.44285715,-28721520.70717963,2516612.8690688265,1014,NA,2516612.8690688265,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,MKD,North Macedonia,63501586.46549543,6219622.353015831,854123.1926830909,768,NA,854123.1926830909,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,MEX,Mexico,30855454796.983112,10557069061.210762,1442692141.1982155,89539,NA,1442692141.1982155,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,NIC,Nicaragua,188560429.65902245,49439979.07525335,24477484.29751868,1969,NA,24477484.29751868,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,PAN,Panama,174144050.16354835,-38385979.250325575,NA,548,NA,NA,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,PRY,Paraguay,175553545.06521848,-14056884.152081834,2710.0166489741728,466,NA,2710.0166489741728,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,PER,Peru,2370655915.2347975,35156236.90298291,19360740.815744843,4093,NA,19360740.815744843,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,PRI,Puerto Rico,897513778.4944482,-240518371.62362373,NA,3030,NA,NA,NA,NA,NA,NA
AMERICA MOVIL,2019,Communications,MEX,Mexico,SRB,Serbia,146106957.7215905,13199174.902781742,NA,1127,NA,NA,NA,NA,NA,NA
