agreement_type,agreement,signed,entered_into_force,eoi,PARTNER_COUNTRY_CODE,PARENT_COUNTRY_CODE
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ALB,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,AIA,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ATG,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ARG,AND
TIEA,TIEA AD AR,2009-10-26,2012-06-15,On Request,ARG,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ABW,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUS,AND
TIEA,TIEA AD AU,2011-09-24,2012-12-03,On Request,AUS,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUT,AND
TIEA,TIEA AD AT,2009-09-17,2010-12-10,On Request,AUT,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BRB,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BEL,AND
TIEA,TIEA AD BE,2009-10-23,2015-01-13,On Request,BEL,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,BLZ,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BMU,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BGR,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CAN,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYM,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHL,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHN,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,COL,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,COK,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CRI,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HRV,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CUW,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYP,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CZE,AND
TIEA,TIEA AD CZ,2013-06-11,2014-06-05,On Request,CZE,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DNK,AND
TIEA,TIEA AD DK,2010-02-24,2011-02-13,On Request,DNK,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,EST,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRO,AND
TIEA,TIEA AD FO,2010-02-24,2011-06-18,On Request,FRO,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FIN,AND
TIEA,TIEA AD FI,2010-02-24,2011-02-12,On Request,FIN,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRA,AND
TIEA,TIEA AD FR,2009-09-22,2010-12-22,On Request,FRA,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DEU,AND
TIEA,TIEA AD DE,2010-11-25,2012-01-20,On Request,DEU,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GHA,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GIB,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRC,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRL,AND
TIEA,TIEA AD GL,2010-02-24,2013-04-06,On Request,GRL,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GRD,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GGY,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HUN,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ISL,AND
TIEA,TIEA AD IS,2010-02-24,2011-02-14,On Request,ISL,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IND,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,IDN,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IRL,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IMN,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ITA,AND
TIEA,TIEA AD IT,2015-09-22,,On Request,ITA,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,JPN,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,JEY,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LVA,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LIE,AND
TIEA,TIEA AD LI,2009-09-18,2011-01-10,On Request,LIE,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LTU,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LUX,AND
DTC,DTC AD LU,2014-06-02,,Uncertain,LUX,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MYS,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MLT,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MHL,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MUS,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MEX,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MCO,AND
TIEA,TIEA AD MC,2009-09-18,2010-12-16,On Request,MCO,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MSR,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NLD,AND
TIEA,TIEA AD NL,2009-11-06,2011-01-01,On Request,NLD,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,NZL,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NIU,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NOR,AND
TIEA,TIEA AD NO,2010-02-24,2011-06-18,On Request,NOR,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,POL,AND
TIEA,TIEA AD PL,2012-06-15,2013-12-18,On Request,POL,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,PRT,AND
TIEA,TIEA AD PT,2009-11-30,2011-03-31,On Request,PRT,AND
DTC,DTC AD PT,2015-09-27,,Uncertain,PRT,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ROU,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,LCA,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,VCT,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,WSM,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SMR,AND
TIEA,TIEA AD SM,2009-09-21,2010-12-07,On Request,SMR,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SYC,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,SXM,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVK,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVN,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ZAF,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,KOR,AND
TIEA,TIEA AD KR,2014-10-23,,On Request,KOR,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ESP,AND
TIEA,TIEA AD ES,2010-01-14,2011-02-10,On Request,ESP,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SWE,AND
TIEA,TIEA AD SE,2010-02-24,2011-02-11,On Request,SWE,AND
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHE,AND
TIEA,TIEA AD CH,2014-03-17,2015-07-27,On Request,CHE,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,TCA,AND
DTC,DTC AD AE,2015-07-28,,Uncertain,ARE,AND
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GBR,AND
